file_name,label
test1111.avi,Right
test1112.avi,Right
test1113.avi,Right
test1114.avi,Right
test1115.avi,Right
test1116.avi,Right
test1117.avi,Right
test1121.avi,Right
test1122.avi,Right
test1123.avi,Right
test1124.avi,Right
test1125.avi,Right
test1126.avi,Right
test1127.avi,Right
test1131.avi,Right
test1132.avi,Right
test1133.avi,Right
test1134.avi,Right
test1135.avi,Right
test1136.avi,Right
test1137.avi,Right
test1141.avi,Right
test1142.avi,Right
test1143.avi,Right
test1144.avi,Right
test1145.avi,Right
test1146.avi,Right
test1147.avi,Right
test1151.avi,Right
test1152.avi,Right
test1153.avi,Right
test1154.avi,Right
test1155.avi,Right
test1156.avi,Right
test1157.avi,Right
test1161.avi,Right
test1162.avi,Right
test1163.avi,Right
test1164.avi,Right
test1165.avi,Right
test1166.avi,Right
test1167.avi,Right
test1171.avi,Right
test1172.avi,Right
test1173.avi,Right
test1174.avi,Right
test1175.avi,Right
test1176.avi,Right
test1177.avi,Right
test1211.avi,Right
test1212.avi,Right
test1213.avi,Right
test1214.avi,Right
test1215.avi,Right
test1216.avi,Right
test1217.avi,Right
test1221.avi,Right
test1222.avi,Right
test1223.avi,Right
test1224.avi,Right
test1225.avi,Right
test1226.avi,Right
test1227.avi,Right
test1231.avi,Right
test1232.avi,Right
test1233.avi,Right
test1234.avi,Right
test1235.avi,Right
test1236.avi,Right
test1237.avi,Right
test1241.avi,Right
test1242.avi,Right
test1243.avi,Right
test1244.avi,Right
test1245.avi,Right
test1246.avi,Right
test1247.avi,Right
test1251.avi,Right
test1252.avi,Right
test1253.avi,Right
test1254.avi,Right
test1255.avi,Right
test1256.avi,Right
test1257.avi,Right
test1261.avi,Right
test1262.avi,Right
test1263.avi,Right
test1264.avi,Right
test1265.avi,Right
test1266.avi,Right
test1267.avi,Right
test1271.avi,Right
test1272.avi,Right
test1273.avi,Right
test1274.avi,Right
test1275.avi,Right
test1276.avi,Right
test1277.avi,Right
test1311.avi,Right
test1312.avi,Right
test1313.avi,Right
test1314.avi,Right
test1315.avi,Right
test1316.avi,Right
test1317.avi,Right
test1321.avi,Right
test1322.avi,Right
test1323.avi,Right
test1324.avi,Right
test1325.avi,Right
test1326.avi,Right
test1327.avi,Right
test1331.avi,Right
test1332.avi,Right
test1333.avi,Right
test1334.avi,Right
test1335.avi,Right
test1336.avi,Right
test1337.avi,Right
test1341.avi,Right
test1342.avi,Right
test1343.avi,Right
test1344.avi,Right
test1345.avi,Right
test1346.avi,Right
test1347.avi,Right
test1351.avi,Right
test1352.avi,Right
test1353.avi,Right
test1354.avi,Right
test1355.avi,Right
test1356.avi,Right
test1357.avi,Right
test1361.avi,Right
test1362.avi,Right
test1363.avi,Right
test1364.avi,Right
test1365.avi,Right
test1366.avi,Right
test1367.avi,Right
test1371.avi,Right
test1372.avi,Right
